geography code,total,1,2,3,4,5,6+
E02005739,4257,2,33,244,811,1402,1765
E02005740,4677,11,53,441,1214,1470,1488
E02005741,3588,11,34,239,524,914,1866
E02002515,3270,29,109,419,755,763,1195
E02002516,2432,0,10,205,291,806,1120
E02002517,2386,1,39,198,508,680,960
E02002518,4510,6,14,150,676,1069,2595
E02002519,3153,7,46,484,686,857,1073
E02002520,5772,4,43,297,678,1464,3286
E02002521,2865,33,53,393,531,544,1311
E02002523,2716,3,26,203,777,1155,552
E02002524,2291,3,6,98,445,684,1055
E02002525,3772,6,61,310,1064,1239,1092
E02002526,3189,1,9,128,760,894,1397
E02002527,2254,3,21,96,558,819,757
E02002529,2620,2,18,306,443,986,865
E02002530,2881,0,20,114,699,866,1182
E02002532,2933,6,56,414,554,838,1065
E02002533,2437,0,5,36,296,664,1436
E02002534,2469,0,6,43,244,564,1612
E02006812,3354,2,40,298,641,1091,1282
E02006910,4301,8,43,308,690,1368,1884
E02002535,4062,4,29,144,594,939,2352
E02002536,4239,5,32,219,775,1674,1534
E02002537,3673,5,18,151,410,1665,1424
E02002538,2429,2,35,194,267,797,1134
E02002539,3517,1,5,60,349,634,2468
E02002540,2808,1,8,203,438,672,1486
E02002541,2870,6,37,204,520,999,1104
E02002542,3358,2,16,275,664,1115,1286
E02002543,3356,4,40,450,634,1016,1212
E02002544,3391,16,42,462,752,1127,992
E02002545,2294,4,11,94,306,817,1062
E02002546,3103,5,34,237,569,1021,1237
E02002547,2765,3,16,200,412,664,1470
E02002548,4986,104,235,968,1169,1241,1269
E02002549,3361,0,7,122,452,962,1818
E02002550,2670,9,73,181,334,600,1473
E02002551,2739,17,90,499,632,769,732
E02002552,2798,4,43,189,376,1308,878
E02002553,2585,6,31,253,550,846,899
E02002554,2355,5,35,249,569,889,608
E02002555,4137,0,21,161,607,982,2366
E02002556,2726,0,11,35,269,502,1909
E02002557,4792,0,6,88,353,769,3576
E02002558,4145,9,47,252,585,791,2461
E02001682,3431,4,26,237,826,892,1446
E02001683,4002,6,48,214,1276,1043,1415
E02001684,3311,18,94,503,1183,824,689
E02001685,3612,7,60,430,836,1126,1153
E02001686,3168,5,40,248,695,851,1329
E02001688,3799,24,139,780,1427,905,524
E02001689,3351,11,101,428,1138,782,891
E02001690,3325,20,110,220,889,837,1249
E02001691,3876,10,61,345,1587,897,976
E02001692,2765,13,43,222,1054,892,541
E02001693,2633,11,55,337,912,868,450
E02001694,2814,5,50,161,627,874,1097
E02001695,2702,8,73,245,520,745,1111
E02001696,4065,5,77,343,1082,1412,1146
E02001697,3386,9,41,209,761,801,1565
E02001698,3202,4,28,133,575,817,1645
E02001699,3124,8,46,330,909,1043,788
E02001700,4585,12,52,186,1088,1417,1830
E02001701,2763,5,42,179,524,552,1461
E02001702,3522,7,65,403,944,1416,687
E02001703,2435,3,9,127,394,595,1307
E02001704,3380,7,41,431,1035,1199,667
E02001705,3200,4,22,209,1188,766,1011
E02001706,2924,18,43,251,764,936,912
E02001707,3599,5,46,292,912,995,1349
E02006841,3949,70,205,980,1389,823,482
E02006842,2231,7,40,259,700,527,698
E02001708,4122,2,40,242,838,1202,1798
E02001709,4218,8,20,152,745,528,2765
E02001710,4381,23,104,489,1070,1287,1408
E02001711,4129,16,76,306,847,1765,1119
E02001712,4214,4,66,296,927,737,2184
E02001713,4389,18,74,345,712,738,2502
E02001714,3901,3,20,100,597,637,2544
E02001715,4712,9,61,428,928,1405,1881
E02001718,2427,9,38,203,642,781,754
E02001719,3759,1,26,174,718,1091,1749
E02001720,3343,19,112,231,880,430,1671
E02001721,4647,8,78,298,1362,1304,1597
E02001722,4195,6,46,363,861,1569,1350
E02001723,2575,6,43,184,659,796,887
E02001724,3575,40,161,475,1072,515,1312
E02001725,4536,33,118,678,1453,1082,1172
E02001726,4687,18,67,283,1215,1356,1748
E02001727,3877,32,157,265,999,1169,1255
E02001728,4248,13,57,349,1051,1354,1424
E02001729,4145,30,248,510,1068,800,1489
E02001730,4835,65,409,775,1755,819,1012
E02001731,5587,149,688,1882,1364,793,711
E02001732,2193,11,68,193,598,778,545
E02001733,5675,54,214,1001,1729,1497,1180
E02001734,3233,12,58,388,813,983,979
E02001735,2884,12,64,386,907,1163,352
E02001736,4959,36,214,714,1653,1161,1181
E02001737,2968,33,163,488,1086,839,359
E02006893,4739,2,37,262,1045,1386,2007
E02001738,2471,3,7,62,283,343,1773
E02001739,3355,10,41,429,801,1002,1072
E02001740,2294,5,29,76,182,236,1766
E02001741,3283,1,29,217,857,1018,1161
E02001742,2604,1,9,98,515,513,1468
E02001743,3195,18,71,295,524,473,1814
E02001744,2877,2,16,264,635,830,1130
E02001745,2786,3,28,216,750,851,938
E02001746,3598,13,57,264,617,814,1833
E02001747,2880,2,23,192,508,627,1528
E02001748,3253,4,42,281,797,913,1216
E02001749,2772,4,17,305,691,797,958
E02001750,2841,2,12,144,453,586,1644
E02001751,2716,1,31,226,602,783,1073
E02001752,2789,8,52,280,579,975,895
E02001753,3230,8,81,515,815,603,1208
E02001754,2849,2,25,189,713,499,1421
E02001755,3500,4,37,328,665,680,1786
E02001756,4391,9,99,424,1141,1430,1288
E02001757,2753,4,43,162,579,824,1141
E02001758,2450,4,14,171,630,863,768
E02001759,3261,18,105,480,1041,660,957
E02001760,3471,6,40,348,1228,1097,752
E02001761,2448,7,25,229,586,948,653
E02001762,2471,6,51,191,727,669,827
E02001763,2882,10,58,302,917,899,696
E02001764,3883,27,141,863,1197,980,675
E02001765,3312,7,63,452,1022,941,827
E02001766,3295,6,45,307,1150,771,1016
E02001767,3385,11,61,435,981,908,989
E02001768,3812,14,72,431,1168,959,1168
E02001769,3973,8,115,930,1337,1021,562
E02001770,3035,6,28,278,951,754,1018
E02001771,2806,10,34,176,594,858,1134
E02001772,2467,2,16,199,644,711,895
E02001773,2381,1,11,30,308,680,1351
E02001774,2559,11,102,406,517,791,732
E02001775,2450,3,26,254,453,703,1011
E02001776,3729,5,28,278,1168,1123,1127
E02001777,2897,6,28,201,949,773,940
E02001778,2939,1,48,352,1014,926,598
E02001779,2519,7,63,356,608,799,686
E02001780,2318,7,25,256,299,926,805
E02001781,2567,7,66,228,735,891,640
E02001782,3835,6,44,340,700,1379,1366
E02001783,2980,4,37,257,976,1196,510
E02001784,2970,8,34,292,408,864,1364
E02001785,3555,8,52,320,705,904,1566
