geography code,total,1,2,3,4+
E02002549,3361,881,1343,563,574
E02002550,2670,786,929,413,542
E02002551,2739,1063,845,430,401
E02002552,2798,675,1022,542,559
E02002553,2585,823,928,385,449
E02002554,2355,667,907,379,402
E02002555,4137,1025,1602,712,798
E02002556,2726,497,996,531,702
E02002557,4792,679,1391,1099,1623
E02002558,4145,1117,1698,626,704
E02001682,3431,964,1323,549,595
E02001683,4002,1170,1494,701,637
E02001684,3311,1252,1171,501,387
E02001685,3612,1150,1199,623,640
E02001686,3168,989,1208,485,486
E02001688,3799,1573,1258,490,478
E02001689,3351,1301,1012,453,585
E02001690,3325,996,1208,577,544
E02001691,3876,1540,1274,531,531
E02001692,2765,865,896,488,516
E02001693,2633,981,874,402,376
E02001694,2814,781,1036,461,536
E02001695,2702,712,996,467,527
E02001696,4065,1190,1427,699,749
E02001697,3386,999,1226,552,609
E02001698,3202,832,1385,472,513
E02001699,3124,1011,1106,470,537
E02001700,4585,1296,1620,864,805
E02001701,2763,863,997,437,466
E02001702,3522,1233,1067,570,652
E02001703,2435,619,995,362,459
E02001704,3380,1255,1152,483,490
E02001705,3200,1076,1135,514,475
E02001706,2924,897,1061,485,481
E02001707,3599,1037,1315,624,623
E02006841,3949,1921,1338,400,290
E02006842,2231,810,713,351,357
E02001708,4122,1175,1419,740,788
E02001709,4218,1117,1516,657,928
E02001710,4381,1625,1322,664,770
E02001711,4129,1318,1341,683,787
E02001712,4214,1344,1494,583,793
E02001713,4389,1376,1501,582,930
E02001714,3901,1023,1358,657,863
E02001715,4712,1500,1439,747,1026
E02001718,2427,838,728,367,494
E02001719,3759,1068,1293,653,745
E02001720,3343,879,892,506,1066
E02001721,4647,1548,1627,739,733
E02001722,4195,1310,1451,657,777
E02001723,2575,759,828,409,579
E02001724,3575,1258,1062,418,837
E02001725,4536,1704,1412,636,784
E02001726,4687,1496,1357,761,1073
E02001727,3877,1397,1206,624,650
E02001728,4248,1311,1478,726,733
E02001729,4145,1434,944,616,1151
E02001730,4835,2104,1318,610,803
E02001731,5587,2935,1439,521,692
E02001732,2193,740,681,385,387
E02001733,5675,2422,1721,735,797
E02001734,3233,1096,970,532,635
E02001735,2884,988,863,508,525
E02001736,4959,1842,1119,732,1266
E02001737,2968,1370,829,373,396
E02006893,4739,1360,1824,789,766
E02001738,2471,652,1056,322,441
E02001739,3355,1029,1250,543,533
E02001740,2294,527,801,388,578
E02001741,3283,1108,1292,432,451
E02001742,2604,776,905,407,516
E02001743,3195,1064,1029,499,603
E02001744,2877,877,1031,507,462
E02001745,2786,833,955,531,467
E02001746,3598,1138,1204,583,673
E02001747,2880,973,1066,400,441
E02001748,3253,884,1239,557,573
E02001749,2772,874,1002,486,410
E02001750,2841,801,1043,467,530
E02001751,2716,859,1007,432,418
E02001752,2789,909,946,434,500
E02001753,3230,1380,1123,381,346
E02001754,2849,1055,1017,379,398
E02001755,3500,1135,1173,562,630
E02001756,4391,1601,1537,659,594
E02001757,2753,910,1041,412,390
E02001758,2450,704,876,457,413
E02001759,3261,1480,1067,392,322
E02001760,3471,1234,1089,579,569
E02001761,2448,788,898,383,379
E02001762,2471,719,882,477,393
E02001763,2882,1037,936,449,460
E02001764,3883,1816,1117,512,438
E02001765,3312,1178,1109,535,490
E02001766,3295,1280,1068,478,469
E02001767,3385,1339,1120,464,462
E02001768,3812,1488,1238,513,573
E02001769,3973,2062,1050,481,380
E02001770,3035,1180,1003,455,397
E02001771,2806,881,994,454,477
E02001772,2467,850,863,378,376
E02001773,2381,645,906,436,394
E02001774,2559,1016,794,397,352
E02001775,2450,828,731,409,482
E02001776,3729,1238,1238,667,586
E02001777,2897,1052,926,470,449
E02001778,2939,1175,946,438,380
E02001779,2519,984,794,347,394
E02001780,2318,725,825,396,372
E02001781,2567,984,817,407,359
E02001782,3835,1228,1337,649,621
E02001783,2980,969,1003,513,495
E02001784,2970,934,989,511,536
E02001785,3555,1160,1252,559,584
E02001786,3178,1097,1040,547,494
E02001787,2457,725,854,456,422
E02001788,2636,838,891,488,419
E02001789,2471,608,965,429,469
E02001790,2633,792,975,398,468
E02001791,2427,597,873,487,470
E02001792,3048,873,1131,500,544
E02001793,3822,1418,1161,610,633
E02001794,3732,1161,1275,665,631
E02001795,3577,1397,1125,548,507
E02001796,4426,1780,1409,657,580
E02001797,2486,649,980,420,437
E02001798,3445,990,1148,635,672
E02001799,4424,1472,1440,782,730
E02001800,3014,764,1093,562,595
E02001801,2515,869,737,418,491
E02001802,2638,765,844,510,519
E02001803,4188,2109,1203,422,454
E02001804,2706,767,947,503,489
E02001805,2501,730,901,441,429
E02001806,4143,1967,1133,488,555
E02001807,3027,815,1061,548,603
E02001808,2468,776,742,406,544
E02001809,2881,803,1106,499,473
E02001810,3699,1065,1296,685,653
E02001811,4087,1361,1327,708,691
E02001812,4354,1130,1672,741,811
E02001813,4318,1392,1323,798,805
E02001814,2762,884,854,515,509
E02001815,4244,963,1652,787,842
E02001816,3357,1323,1143,461,430
E02001817,2714,877,861,464,512
E02001818,3530,1010,1198,624,698
E02001819,3054,841,1188,510,515
E02001820,3618,1039,1210,650,719
E02001821,2453,617,825,516,495
