geography code,total,OW,SO,SR,PR
E02001032,3120,1078,1402,246,24
E02001033,2390,589,915,415,29
E02001034,3831,593,967,1478,54
E02001035,2981,1419,1198,99,31
E02001036,3011,822,1232,526,30
E02001037,3016,1396,1214,52,33
E02001038,2637,675,913,550,52
E02001039,3443,721,1145,1182,32
E02001040,2548,1047,1064,80,29
E02001041,3369,850,1256,658,41
E02001042,2875,876,938,398,38
E02001043,2307,683,905,415,29
E02001044,2790,932,1172,154,31
E02001045,3622,731,845,1625,57
E02001046,3956,683,1114,1558,43
E02001047,4369,713,1228,1868,68
E02001048,3560,959,1112,639,45
E02001049,4049,1167,1519,909,59
E02001050,3195,517,730,889,43
E02001051,3393,906,1047,510,47
E02001052,4384,872,958,804,83
E02001053,4494,353,526,2763,102
E02001055,3829,635,917,1488,77
E02001056,3463,389,484,2046,66
E02001057,4018,224,465,1846,72
E02001059,4369,422,725,1989,93
E02001061,3863,619,783,1608,64
E02001062,3546,205,331,2324,89
E02001063,3629,173,545,1370,52
E02001064,3624,391,662,1807,91
E02001065,3787,829,1100,630,77
E02001066,3533,374,421,885,60
E02001067,3791,334,647,1867,73
E02001068,3696,269,377,2180,98
E02001069,4059,443,523,1291,81
E02001070,3294,427,586,788,73
E02001071,4566,755,1192,971,100
E02001072,3741,516,869,728,43
E02001073,4015,917,1307,406,24
E02001074,4299,614,1055,1505,66
E02001075,3320,547,1030,466,35
E02001076,2965,380,393,336,29
E02001077,3117,816,1030,276,30
E02001078,3835,1056,1362,558,42
E02001079,3341,457,711,1271,58
E02001080,3367,518,496,458,42
E02001081,2776,660,1085,452,25
E02001082,2921,484,664,333,25
E02001083,3902,333,1042,593,36
E02001084,3325,707,896,641,34
E02001085,3177,410,796,1609,66
E02001086,2949,517,909,858,46
E02001087,4402,1175,1417,417,62
E02001088,3780,580,1220,1499,61
E02001089,3123,1112,1219,142,50
E02001090,3100,861,1124,615,39
E02001091,3876,822,1390,1163,46
E02001092,3724,561,1171,1514,55
E02001093,3778,337,1007,1787,52
E02001094,3805,225,524,2591,74
E02001095,3580,467,937,1695,63
E02001096,3311,654,1003,1307,40
E02001097,3452,481,935,1514,67
E02006902,3368,186,512,780,53
E02006912,3885,272,683,370,50
E02006913,2939,302,319,915,34
E02006914,2299,155,277,571,34
E02006915,3047,183,446,1493,56
E02006916,3274,131,452,1119,42
E02006917,3087,319,613,45,49
E02001098,2756,1201,937,392,33
E02001099,2724,778,993,514,33
E02001100,2586,972,996,348,33
E02001101,2457,1063,1033,183,15
E02001102,2475,813,1239,126,20
E02001103,2353,1006,869,240,31
E02001104,2726,637,1310,535,14
E02001105,2631,942,925,567,28
E02001106,2668,870,983,494,19
E02001107,2390,855,918,342,31
E02001108,2148,399,646,738,15
E02001109,3332,652,1138,1108,45
E02001110,2742,1212,1103,38,28
E02001111,2928,278,416,1885,55
E02001112,2371,1075,1117,21,20
E02001113,2664,494,834,896,51
E02001114,3381,869,1265,858,43
E02001115,2539,807,1021,391,23
E02001116,2358,703,879,183,56
E02001117,2529,1074,927,215,19
E02001118,2602,1027,1076,191,35
E02001119,2840,937,750,557,91
E02001121,2224,536,552,596,57
E02001123,2751,551,786,1082,48
E02001124,2507,498,704,933,34
E02001125,3351,1123,1418,368,25
E02001126,3141,514,854,1203,52
E02001127,2790,558,646,1263,34
E02001128,3271,1047,1232,451,35
E02001129,2622,525,841,691,35
E02001130,2520,840,997,483,38
E02001131,2298,980,845,265,28
E02006860,4028,1357,1168,761,106
E02001132,2860,924,1093,302,32
E02001133,2544,930,1114,178,23
E02001134,2583,979,1156,93,30
E02001135,3052,416,736,1558,51
E02001136,3667,1199,1464,516,49
E02001137,2497,951,1218,52,25
E02001138,3647,1451,1507,307,32
E02001139,2906,734,969,581,57
E02001140,2958,779,940,741,31
E02001141,5181,859,966,2342,162
E02001142,2396,1188,879,66,14
E02001143,3988,871,1277,1176,57
E02001144,2702,743,985,508,26
E02001145,3024,961,1257,387,56
E02001146,2896,861,748,587,69
E02001147,3878,678,981,1719,62
E02001148,4257,1293,1514,703,62
E02001149,4671,951,1239,1693,73
E02001150,3591,846,1180,1201,39
E02001151,3867,1231,1680,372,37
E02001152,3984,1006,1387,1052,63
E02001153,4452,674,1158,2156,65
E02001154,4387,1056,1927,757,46
E02001155,3433,873,1234,812,46
E02001156,4131,1880,1546,388,53
E02001157,3183,423,700,1679,65
E02001158,2700,542,803,943,76
E02001159,2579,541,871,748,40
E02001160,2555,514,708,1086,47
E02001161,2680,764,958,475,41
E02001162,2709,848,806,620,35
E02001163,4182,1422,1643,565,49
E02001164,2677,513,899,870,37
E02001165,2664,742,1016,557,32
E02001166,2343,564,525,560,52
E02001167,2710,655,745,593,51
E02001168,4093,1007,1428,1073,59
E02001169,4252,1651,2067,112,31
E02001170,4130,1796,1734,143,40
E02001171,2336,973,1036,89,9
E02001172,4989,446,613,2718,145
E02001173,3153,390,442,1535,79
E02001174,2362,762,995,176,29
E02001175,2914,690,949,803,49
E02001176,5147,1220,1516,1327,84
E02001177,5293,1185,1365,1455,89
E02001178,5633,284,684,2022,86
E02001179,2874,625,854,613,44
E02001180,2981,98,128,2367,82
E02001181,2606,460,665,1180,51
E02001182,2858,391,723,1296,53
E02001183,2782,601,981,581,46
E02001184,5710,330,933,1656,80
E02001185,4208,1193,1624,977,37
E02001186,4253,973,1620,1000,65
E02001187,3076,973,1360,358,18
E02001188,3503,695,1312,785,53
E02001189,3616,1220,1541,366,31
E02001190,3053,351,556,1918,79
E02001191,2618,960,948,500,30
E02001192,2831,906,1022,201,25
E02001193,2952,755,1071,556,32
E02001194,2493,1002,927,84,20
E02001195,3208,1100,1492,120,23
E02001196,3339,1384,1203,458,47
E02001197,2610,926,1060,363,20
E02001198,3341,1058,1104,904,36
E02001199,3413,1297,1458,58,34
E02001200,3446,391,664,1776,59
E02001201,2431,781,1173,104,23
E02001202,2998,541,1148,641,27
E02001203,2387,1233,914,42,19
E02001204,3803,1100,1764,427,16
